instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
COPEC,Bolsa de Santiago,2022-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3562894,true
CCU,Bolsa de Santiago,2023-Q2,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,2831627,true
BCU-2027,Bolsa de Santiago,2024-Q2,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,9681090,true
ENJOY,Bolsa de Santiago,2021-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3804061,true
BANCO DE CHILE,Bolsa de Santiago,2022-Q4,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4701460,true
BCP-2027,Bolsa de Santiago,2022-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4177802,true
BCP-2030,Bolsa de Santiago,2022-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4615529,true
BCI AM BALANCEADO,Bolsa Electrónica,2023-Q3,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4977906,true
BONO ESVAL 2027,Bolsa de Santiago,2023-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4855382,true
BCP-2029,Bolsa de Santiago,2024-Q1,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,9646632,true
BCP-2026,Bolsa de Santiago,2023-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2439949,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7876477,true
BCP-2025,Bolsa de Santiago,2024-Q4,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,2975870,true
BCU-2024,Bolsa de Santiago,2021-Q4,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,8319792,true
BONO ENTEL 2027,Bolsa de Santiago,2023-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2472637,true
MALLPLAZA,Bolsa de Santiago,2021-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2783048,true
BCU-2029,Bolsa de Santiago,2021-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7485630,true
SECURITY,Bolsa de Santiago,2022-Q1,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,2279341,true
SQM-A,Bolsa de Santiago,2024-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4435502,true
BCP-2030,Bolsa de Santiago,2022-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2507380,true
BCU-2025,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,8148558,true
SM-CHILE B,Bolsa de Santiago,2021-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3221433,true
SM-CHILE B,Bolsa de Santiago,2023-Q1,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,982342,true
SONDA,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4360183,true
SECURITY AM ACCIONES,Bolsa Electrónica,2021-Q2,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,10954549,false
BCP-2026,Bolsa de Santiago,2024-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,6481948,true
BCP-2030,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5302292,true
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2022-Q3,Ganancia Capital,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9075442,true
BONO SQM 2028,Bolsa de Santiago,2021-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4782720,true
